%
%
% Run:wwm   Table:BUOYS             SWAN version:41.51
%
%       Hsig          Tm01          Tm02          Dspr          Dir           RTpeak        TPsmoo        Dist          Depth         Botlev      X-Windv       Y-Windv         Watlev   
%       [m]           [sec]         [sec]         [degr]        [degr]        [sec]         [sec]         [m]           [m]           [m]           [m/s]         [m/s]         [m]      
%
      1.37205        8.1876        5.9753       27.4667       272.225       20.2338       19.9361       122532.        4.3996        3.8996        1.3805       -4.7948        0.5000 
      1.36493        8.1597        5.9267       28.1582       272.820       20.2338       19.9346       122599.        4.7998        4.2998        1.3767       -4.8428        0.5000 
      1.38416        8.1658        5.9477       28.1428       273.681       20.2338       19.9328       122657.        4.5000        4.0000        1.3729       -4.8258        0.5000 
      1.80325        8.3894        6.6566       19.4232       219.327       18.4714       19.2626            0.        3.1959        2.6959        1.4349       -3.5217        0.5000 
      1.84160        8.5300        6.7883       25.0188       223.714       18.4714       19.2641           64.        3.5038        3.0038        1.4292       -3.5471        0.5000 
      1.57654        8.4325        6.6282       32.3696       235.558       18.4714       19.2946          110.        2.1989        1.6989        1.4285       -3.5562        0.5000 
      1.75519        8.4112        6.6632       25.5597       235.729       18.4714       19.2717          166.        3.1985        2.6985        1.4241       -3.5732        0.5000 
      2.46176        8.5210        6.4772       22.2915       232.976       20.2338       19.9100        69765.        9.4982        8.9982        3.0913       -7.2305        0.5000 
      2.46404        8.8535        6.8051       18.8114       231.316       20.2338       19.9194        69937.        6.5012        6.0012        3.0955       -7.2250        0.5000 
      2.53280        8.8396        6.7613       22.2822       230.335       20.2338       19.9173        70077.        7.2997        6.7997        3.0913       -7.2420        0.5000 
      0.09182        0.9140        0.7909       19.0777       314.383        1.1999        1.1848       114031.        1.5000        1.0000        1.2153       -3.6198        0.5000 
      0.09041        0.9052        0.7824       19.2959       305.261        1.1999        1.1803       114099.        1.5000        1.0000        1.2152       -3.6190        0.5000 
      0.09500        0.9088        0.7861       19.9815       309.019        1.1999        1.1814       114156.        1.5000        1.0000        1.2182       -3.6183        0.5000 
      1.36228        8.0830        5.8429       27.5595       271.960       20.2338       19.5699       122532.        4.3996        3.8996        2.3309       -5.0469        0.5000 
      1.35508        8.0516        5.7917       28.2441       272.542       20.2338       19.5704       122599.        4.7998        4.2998        2.3454       -5.0765        0.5000 
      1.37447        8.0718        5.8470       28.2258       273.414       20.2338       19.5599       122657.        4.5000        4.0000        2.3413       -5.0627        0.5000 
      1.79696        8.3303        6.6301       19.4420       219.373       18.4714       18.8552            0.        3.1959        2.6959        2.5440       -3.1304        0.5000 
      1.83584        8.4673        6.7584       25.0133       223.753       18.4714       18.8553           64.        3.5038        3.0038        2.5576       -3.1340        0.5000 
      1.57176        8.3702        6.6000       32.3361       235.540       18.4714       18.8818          110.        2.1989        1.6989        2.5616       -3.1459        0.5000 
      1.75013        8.3492        6.6337       25.5472       235.706       18.4714       18.8607          166.        3.1985        2.6985        2.5710       -3.1437        0.5000 
      2.45248        8.4715        6.4619       22.2774       232.875       20.2338       19.4712        69765.        9.4982        8.9982        3.2858       -6.1919        0.5000 
      2.45453        8.8002        6.7889       18.8099       231.250       20.2338       19.4925        69937.        6.5012        6.0012        3.2842       -6.1768        0.5000 
      2.52268        8.7889        6.7387       22.2644       230.242       20.2338       19.4870        70077.        7.2997        6.7997        3.2855       -6.2032        0.5000 
